finding_id	report	source_repo	source_paths	finding	disposition	preservation_evidence	future_verification
R10-M33	10-module	spicy-regs	src/spicy_regs/pipelines/rollups/court_opinion_clusters.py	Thin CourtListener cluster-materialization wrapper is preserved; unique risk resides in its source and transform dependencies.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Exercise command wiring over a pinned cluster listing.
R10-M34	10-module	spicy-regs	src/spicy_regs/pipelines/rollups/supreme_court_opinions.py	Thin official Supreme Court publication wrapper is preserved; unique risk resides in the reader and transform.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Exercise command wiring with preserved historical term fixtures.
R10-M35	10-module	spicy-regs; rulespec	src/spicy_regs/publication.py; packages/rulespec-artifacts/src/rulespec_artifacts/_artifact.py	Local and directory write-once publication primitives are superseded by the current Rulespec no-replace artifact publisher.	superseded	rulespec@93ae44d906be:packages/rulespec-artifacts/src/rulespec_artifacts/_artifact.py	Rerun no-replace, concurrent-winner, partial-publication, and path-safety tests.
R10-M36	10-module+10-nugget#1	spicy-regs	src/spicy_regs/published.py	Provides a fail-closed resolver for a versioned materialized pointer, manifest, and complete public table set; no survivor equivalent exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run unknown version, escaped path, missing or extra table, non-public table, and digest mismatch cases.
R10-M37	10-module	spicy-regs	src/spicy_regs/rulespec_testbed.py	Runs a small real-data Rulespec tagging diagnostic with source facts and gold splits; components survive separately but no equivalent runner does.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay only as historical testbed evidence with pinned source and answer data.
R10-M38	10-module+10-nugget#8	spicy-regs; spicy-regs-landing	src/spicy_regs/schemas/federal_register.py	Two Federal Register schema variants preserve stable projection and historical topics_json absence semantics; no exact combined survivor rule exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle; source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Test pre-backfill absence versus post-backfill values using versioned published manifests before adopting a combined rule.
R10-M39	10-module	spicy-regs	src/spicy_regs/source_profile_artifacts.py	Validates, canonicalizes, and seals a complete source-profile catalog joined to exact RefSpec resource IDs; generated data survives but the generator does not.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Search for any newer generator, then rebuild from one exact RefSpec release and compare receipts.
R10-M40	10-module	spicy-regs	src/spicy_regs/source_profile_artifacts_cli.py	The command-line interface for source-profile artifact generation is preserved with its generator.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Exercise command arguments, error exits, and output identity if the generator is replayed.
R10-M41	10-module	spicy-regs	src/spicy_regs/source_profiles.py	Declares source profiles and their measurements; RefSpec retains generated profile data but not the authoring checks.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Compare declarations with current RefSpec evidence and rerun authoring validation before reuse.
R10-M42	10-module	spicy-regs	src/spicy_regs/sources/__init__.py	Registers added readers and uses a low-risk lazy import for StagingWriter; the method is retained with its source modules.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run import-without-optional-dependencies and reader-registration tests if replayed.
R10-M43	10-module	spicy-regs	src/spicy_regs/sources/bill_subjects.py	Fetches bill details and CRS policy subjects, resolves carrier bills, and reports coverage with distinct incomplete, unavailable, and empty outcomes.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run pagination, 404, carrier-depth, subject-selection, and coverage cases before adoption.
R10-M44	10-module	spicy-regs	src/spicy_regs/sources/courtlistener.py	Adds incremental keyless CourtListener search for cluster metadata while deliberately excluding opinion bodies; no survivor counterpart exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run bounded paging, resume, identity, and body-exclusion tests against current upstream behavior.
R10-M45	10-module	spicy-regs; DocSpec	src/spicy_regs/sources/courtlistener_bulk.py; tools/courtlistener_bulk_source.py	The pinned CourtListener bulk-listing reader with integrity and inclusion-state checks is superseded by the DocSpec source tool.	superseded	DocSpec@444f8ec283a7:tools/courtlistener_bulk_source.py; DocSpec@444f8ec283a7:tests/test_courtlistener_bulk_source.py	Rerun listing pin, inclusion state, resumed download, digest, and mutation tests.
R10-M46	10-module	spicy-regs	src/spicy_regs/sources/document_populations.py	Captures and verifies CBO feeds and GovInfo CFR package populations; RefSpec has some readers but not this capture-and-fixity method.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay pinned CBO and GovInfo inputs and verify population identity, bytes, and refusal cases.
R10-M47	10-module	spicy-regs	src/spicy_regs/sources/fcc_ecfs.py	Derives distinct FCC proceedings from filings and fails on conflicting identity; no survivor implementation exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run duplicate, consistent-repeat, and conflicting-identity fixtures before adoption.
R10-M48	10-module+10-nugget#5	spicy-regs	src/spicy_regs/sources/federal_register.py	Uses bounded date windows, recursively splits capped result sets, and fails on irreducible caps or retry exhaustion; no source-specific survivor implementation exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run capped-window recursion, ambiguous single-day, ordering, retry, and completeness cases before adoption.
R10-M49	10-module	spicy-regs	src/spicy_regs/sources/iceberg.py	The discarded branch removed origin's secret setup and null-safe Parquet backfill; the stronger origin implementation should remain.	superseded	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:src/spicy_regs/sources/iceberg.py	Run origin secret-setup and null-safe backfill tests; do not adopt the branch regression.
R10-M50	10-module+10-nugget#5	spicy-regs	src/spicy_regs/sources/mirrulations.py	Implements bounded streaming, exact ETag-conditioned retrieval, size caps, and fail-fast handling for mutable upstream objects; no exact survivor counterpart exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay a frozen draw with If-Match, mutation, oversize, and interrupted-stream cases.
R10-M51A	10-module+10-nugget#10	spicy-regs	src/spicy_regs/sources/r2.py	Adds expected-shrink publication plus correct revalidation headers for latest.json and Parquet; these additions are useful independently of the branch uploader regression.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Port only allow_shrink and cache-header behavior, then run pointer, Parquet, and anti-shrink cases.
R10-M51B	10-module+10-nugget#10	spicy-regs	src/spicy_regs/sources/r2.py	The discarded branch fails to consume executor.map and can swallow parallel-upload failures; origin/main preserves failure propagation.	superseded	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:src/spicy_regs/sources/r2.py	Run a worker-failure injection and prove the origin uploader propagates the exception.
R10-M52	10-module+10-nugget#7	spicy-regs	src/spicy_regs/sources/source_domains.py	Compares pinned OpenAPI and XSD declarations with observed domains and fails on both unrecorded discrepancies and obsolete accepted exceptions.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run new-discrepancy and stale-exception fixtures against pinned schema and observation inputs.
R10-M53	10-module	spicy-regs	src/spicy_regs/sources/supreme_court_opinions.py	Reads official Supreme Court term indexes and PDFs with page ranges and classifications; no survivor reader exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay modern and pre-2021 indexes, shared volumes, wrong terms, dead links, and page-range cases.
R10-M54	10-module	spicy-regs; RefSpec	src/spicy_regs/sources/uscode_olrc.py; src/refspec/registry/usc_act_index.py	The OLRC Popular Name Tool and Table III parser is superseded by current RefSpec USC act-index behavior.	superseded	RefSpec@3464bda29d08:src/refspec/registry/usc_act_index.py; RefSpec@3464bda29d08:tests/test_usc_act_index.py	Rerun ambiguity, alias, role, division, and Table III composition cases.
R10-M55	10-module	spicy-regs	src/spicy_regs/sources/uscode_uslm.py	Scans USLM source credits using strict enactment rules and quarantine; RefSpec consumes pinned output but no surviving scanner was found.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Locate current generation provenance and run enactment, amendment, bounded-citation, and quarantine cases before any port.
R10-M56	10-module	spicy-regs	src/spicy_regs/transforms/__init__.py	The discarded branch eagerly imports new transforms and expands optional dependency reachability; origin's registry behavior should remain.	superseded	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:src/spicy_regs/transforms/__init__.py	Run clean installed-package import tests without optional transform dependencies.
R10-M57	10-module	spicy-regs	src/spicy_regs/transforms/build_authority_edges.py	Parses Unified Agenda legal authorities, preserves range endpoints, and retains failed parses as searchable evidence; no equivalent materializer survives.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run successful, range, failed-parse, and evidence-retention cases before adoption.
R10-M58	10-module+10-nugget#4	spicy-regs	src/spicy_regs/transforms/build_comment_periods.py	Builds continuous and reopened comment intervals and merges only uniquely resolved assertions.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run adjacency, reopening, ambiguous-resolution, and unresolved-proceeding cases.
R10-M59	10-module	spicy-regs	src/spicy_regs/transforms/build_concept_assignments.py	Materializes provenance-bound concept assignments; current products retain portions of binding meaning but not this ETL.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Trace source facts, concept identity, and provenance through a pinned fixture before porting.
R10-M60	10-module	spicy-regs	src/spicy_regs/transforms/build_concept_events.py	Builds append-only concept lifecycle events; RefSpec retains some lifecycle meaning but not this ETL.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run append-only, ordering, identity, and invalid-transition cases against any replacement.
R10-M61	10-module	spicy-regs	src/spicy_regs/transforms/build_concepts.py	Materializes the concept registry into tables; RefSpec Atlas builders overlap but do not prove table-output parity.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Compare one pinned registry through both builders before deciding whether the ETL is needed.
R10-M62	10-module	spicy-regs	src/spicy_regs/transforms/build_congress_bills.py	Derives Public Law numbers and backfills prior Parquet without replaying the API; no survivor implementation exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run derivation and prior-Parquet backfill cases with API access disabled.
R10-M63	10-module	spicy-regs	src/spicy_regs/transforms/build_court_opinion_bodies.py	Builds full CourtListener opinion-text tables from bulk material; no survivor transform exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run bounded copied bulk input through text, identity, missing-body, and coverage cases.
R10-M64	10-module	spicy-regs	src/spicy_regs/transforms/build_court_opinion_clusters.py	Builds CourtListener decision metadata with bounded batching and headroom; DocSpec capture overlaps but not this output table.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Measure batch and memory bounds and verify cluster identity and row coverage on pinned input.
R10-M65	10-module	spicy-regs	src/spicy_regs/transforms/build_federal_register.py	Adds topics_json, preserves a stable projection, and performs a one-time backfill when prior data lacks the column.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run pre-column, post-column, no-op rerun, and absence-versus-null cases.
R10-M66	10-module	spicy-regs	src/spicy_regs/transforms/build_fr_docket_links.py	Preserves stated docket values, separates normalization from resolution, and emits deterministic docket-link rows; RefSpec retains rules but not this materializer.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run decorated, foreign, colliding, unresolved, and deterministic-order cases.
R10-M67	10-module+10-nugget#4	spicy-regs	src/spicy_regs/transforms/build_proceedings.py	Uses union-find to group trusted dockets only through shared Federal Register artifacts and never through broad RIN equality.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run shared-artifact positive cases and RIN-only negative cases before adoption.
R10-M68	10-module	spicy-regs	src/spicy_regs/transforms/build_regulatory_agenda.py	Builds durable RIN agenda items and links only uniquely resolved targets; no executable survivor counterpart exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run unique, ambiguous, missing, and duplicate target-resolution cases.
R10-M69	10-module+10-nugget#4	spicy-regs	src/spicy_regs/transforms/build_rule_targets.py	Creates a conservative docket, CFR, and RIN identity spine from bounded evidence; no executable survivor counterpart exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run each evidence channel alone and in conflict, proving no unbounded identity fan-out.
R10-M70	10-module	spicy-regs	src/spicy_regs/transforms/build_supreme_court_opinions.py	Converts official Supreme Court PDFs into published opinion rows; no survivor transform exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay preserved term fixtures and verify page ranges, classifications, text identity, and dead-link accounting.
R10-M71	10-module	spicy-regs	src/spicy_regs/transforms/build_unified_agenda.py	Fails on invalid dates and interprets day 00 as the first day rather than broadly clamping; no confirmed equivalent survivor rule exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run invalid dates, day 00, month boundaries, and ordinary dates against current RefSpec parsing.
R10-M72	10-module	spicy-regs	src/spicy_regs/transforms/court_scope.py	Derives jurisdiction and federal scope from docket evidence with cached mapping receipts; no survivor implementation exists.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay a pinned court map and verify cache identity, scope derivation, unknowns, and receipt digests.
R10-M73	10-module	spicy-regs	src/spicy_regs/transforms/enrich_bill_subjects.py	Incrementally adopts per-bill subject results and records coverage while preserving null-versus-absent semantics.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run interrupted resume, prior-row merge, null subject, missing result, and coverage reconciliation cases.
R10-M74	10-module+10-nugget#9	spicy-regs	src/spicy_regs/transforms/pdf_text.py	Adds configurable whitespace and separators, per-page output, and failed-page ordinals; origin retains the core extractor but not all failure detail.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Compare branch and origin over success and failed-page fixtures before deciding whether to port only the evidence detail.
R10-M75	10-module+10-nugget#9	spicy-regs	src/spicy_regs/transforms/pdf_text_pymupdf.py	Extracts text plus per-word page coordinates with PyMuPDF; no survivor reproduces the coordinate output, and prior adoption was reversed.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Retain as historical code; require a new measured adoption decision before any current use.
R10-M76	10-module	spicy-regs	src/spicy_regs/vectordb/embed.py	The existing bulk embed command gains a model-dimension API compatibility fix; SpicySearch vector search does not replace this CLI detail.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run the bulk command with the pinned model and verify dimension discovery before porting the narrow fix.
R10-M77	10-module	spicy-regs	src/spicy_regs/manifest.py	Bloom-filter incremental-crawl state and streaming manifest updates are unchanged on origin/main, including the false-positive warning.	durable-current-reference	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:src/spicy_regs/manifest.py	Run existing manifest tests and retain full-refresh recovery for false positives.
R10-M78	10-module	spicy-regs	src/spicy_regs/enrich_pdf.py	The PDF text enrichment driver is unchanged on origin/main and is not at risk from discarding the branch.	durable-current-reference	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:src/spicy_regs/enrich_pdf.py	Run the existing enrich-pdf-text command tests after dependency changes.
R10-M79	10-module	spicy-regs	src/spicy_regs/backfill_derived_text.py	The derived comment-text backfill is unchanged on origin/main and is not at risk from discarding the branch.	durable-current-reference	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:src/spicy_regs/backfill_derived_text.py	Run the existing backfill-comment-text tests after storage changes.
R11-A01	11#1	spicy-regs	src/spicy_regs/docpipeline/adapters/docling.py; src/spicy_regs/docpipeline/source.py	Office extraction covers DOCX, PPTX, and XLSX through pinned model-free Docling releases, preserves five content layers, table grids and spans, formulas, captions, comments, notes, geometry, omissions, and closed refusal codes, and runs in a credential-stripped bounded child process; no survivor has this capability.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay representative Office fixtures and verify every layer, table, geometry, omission, refusal, timeout, and size bound before any adoption.
R11-A02	11#2	spicy-regs	src/spicy_regs/docpipeline/adapters/anthropic.py; src/spicy_regs/docpipeline/adapters/openai.py; src/spicy_regs/docpipeline/adapters/openai_compatible.py; src/spicy_regs/docpipeline/adapters/codex_cli.py	A provider-independent structured-LLM safety layer enforces local schemas, budgets, retries, outcome classes, telemetry, controlled fallback, read-only Codex execution, and honest adapter limitations; DocSpec supplies only an injected Processor interface and generic receipt.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Test each adapter with pinned client versions for schema, budget, refusal, retry, fallback, telemetry, credential stripping, and local-validation behavior before adoption.
R11-A03	11#3	spicy-regs	src/spicy_regs/docpipeline/adapters/sentence_transformers.py; src/spicy_regs/docpipeline/retrieval.py	The preserved retrieval layer pins SPLADE sparse encoding and a BGE cross-encoder reranker, validates portable sparse vectors, binds exact text and model identity, rejects candidate or text drift, and supports append-only checkpoint and provider-free rank rebuild; survivors retain only dense BGE serving.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay sparse and rerank fixtures with exact model revisions, then verify drift refusal, interrupted resume, score finiteness, order restoration, and provider-free rebuild.
R11-A04	11#4	spicy-regs	src/spicy_regs/docpipeline/source.py; src/spicy_regs/document_file_pipeline.py	Measured parser-and-format retention floors refuse thin or unmeasurable HTML, XML, and PDF parses and require explicit named exemptions; no survivor implements these measured completeness checks.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Recompute the measured populations, pin the approved floors, and run below-floor, unmeasurable, unknown-pair, exemption, and Office-without-floor cases before adoption.
R11-A05	11#5	spicy-regs	src/spicy_regs/docpipeline/extraction.py	Provider-free extraction replay refuses retrieval and hidden answer fields before calls, stores exact secret-free request and response evidence, recomputes outputs without a provider, reports answer-key access, and cannot upgrade failed or unknown checks during rebuild; no survivor combines these controls.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Deny provider access and test hidden-field refusal, exact evidence replay, answer-file reporting, derived recomputation, and no-upgrade rebuild semantics.
R11-A06	11#6	spicy-regs	src/spicy_regs/docpipeline/source.py; src/spicy_regs/docpipeline/adapters/docling.py	The source evidence model binds immutable state, codepoint coordinates, region digest round trips, full coverage and exclusion accounting, native-versus-parser provenance, five content layers, coordinate grades, parser-attempt records, and closed refusal outcomes; DocSpec reproduces exact bytes and mappings but not the complete taxonomy and ledger.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Trace every source codepoint and parser attempt through positive, held, omitted, unsupported, failed, timeout, signal, malformed, and oversize cases before any partial port.
R12-D01	12#1	spicy-regs; spicy-regs-landing; spicysearch	spicy-regs/output/; spicy-regs-landing/output/; spicysearch@027a79cebf59:fixtures/releases/date-events-full-pin.json; spicysearch@027a79cebf59:research/	Exact historical populations remain inputs to current SpicySearch fixtures and research scripts; 21,635 files and 23,135,060,429 bytes from SpicyRegs plus 26 files and 9,298,482,522 bytes from landing are now copied.	copy	../../../_preserved-2026-08-27/spicy-regs-output-complete; ../../../_preserved-2026-08-27/landing-output	Verify copy manifests and hashes, then replace absolute SpicyRegs paths with declared sealed inputs as separate current-product work.
R12-D02	12#2	spicy-regs-landing	output/source-catalog-release-regulations-gov-2021-2025-metadata-complete/; output/source-catalog-release-regulations-gov-2021-2025-metadata-complete-inputs/; output/source-catalog-release-regulations-gov-2021-2025-metadata-complete-composition.json; output/mirrulations-mirror-index/	The metadata-complete Regulations.gov release preserves exact input locks, mirror evidence, 3.95 GB source-item membership, every selected or non-selected disposition, and the only closed 2021-2025 population used for its digests.	copy	../../../_preserved-2026-08-27/landing-output:source-catalog-release-regulations-gov-2021-2025-metadata-complete/; ../../../_preserved-2026-08-27/landing-output:source-catalog-release-regulations-gov-2021-2025-metadata-complete-inputs/; ../../../_preserved-2026-08-27/landing-output:source-catalog-release-regulations-gov-2021-2025-metadata-complete-composition.json; ../../../_preserved-2026-08-27/landing-output:mirrulations-mirror-index/	Validate release and input member hashes and reconcile all dispositions; rebuilding from mutable upstream URLs is not equivalent.
R12-D03A	12#3-agency	spicy-regs	output/agency-crosswalk-2026-08-02/receipt.json; output/agency-crosswalk-2026-08-02/	The agency-crosswalk receipt binds exact output digests and counts, including 914 rows, 715,080 Federal Register docket links, normalization gains, 579,669 foreign identifiers, and 35,662 quarantines, plus the rule that citation frequency is not ownership.	copy	../../../_preserved-2026-08-27/spicy-regs-output-complete:agency-crosswalk-2026-08-02/	Verify receipt and Parquet member digests; any new crosswalk adoption needs current qualification.
R12-D03B	12#3-date-events	spicy-regs	output/date-event-artifact-2026-08-01/receipt.json; output/date-event-artifact-2026-08-01/	The date-event receipt binds 845,784 events, event-type counts, 3,966 quarantines, the full output digest, and the dated finding that no 2026-06-30 ECFS proceeding had a usable window.	copy	../../../_preserved-2026-08-27/spicy-regs-output-complete:date-event-artifact-2026-08-01/	Verify receipt and member digests; treat ECFS coverage as dated evidence and rerun before operational use.
R12-D03C	12#3-citations	spicy-regs	output/citation-bakeoff-2026-08-02/detection-receipt.json; output/citation-bakeoff-2026-08-02/adjudication-receipt.json; output/citation-bakeoff-2026-08-02/	Citation detection and adjudication receipts bind 4,777 authority strings, comparison counts, 620 adjudicated cases, model, spend, tokens, output digest, and exact CiteURL, Markdown, and Python versions.	copy	../../../_preserved-2026-08-27/spicy-regs-output-complete:citation-bakeoff-2026-08-02/	Verify all receipt and JSONL digests; future model or library runs are new experiments rather than preservation checks.
R12-D03D	12#3-retrieval	spicy-regs	output/artifact-retrieval-deterministic-v1/artifact-retrieval-receipt.json; output/artifact-retrieval-document-bge-v2/artifact-retrieval-receipt.json	The retrieval receipts bind the exact evaluated populations: deterministic 300 artifacts, 25 queries, and 1,500 candidates; BGE 184 artifacts, 35 queries, 5,510 candidates, and 46 truncated inputs.	copy	../../../_preserved-2026-08-27/spicy-regs-output-complete:artifact-retrieval-deterministic-v1/; ../../../_preserved-2026-08-27/spicy-regs-output-complete:artifact-retrieval-document-bge-v2/	Verify receipt and candidate member digests before reusing any archived measurement.
R12-D04	12#4-current	RefSpec	tests/fixtures/cbo_topic_codes/; tests/fixtures/fcc_ecfs_codes/; tests/fixtures/regulations_gov_codes/regulations-gov-openapi-v4-2026-08-03.yaml; tests/fixtures/unified_agenda_codes/reginfo-rin-data-ver10262011.xsd	The CBO, FCC ECFS, Regulations.gov OpenAPI, and Reginfo XSD captures identified as not at risk survive as exact current RefSpec fixtures; unique sample bytes and the observed-domain census are already covered by R09-12-SAMPLES and R09-12-DOMAINS.	durable-current-reference	RefSpec@3464bda29d08:tests/fixtures/cbo_topic_codes/; RefSpec@3464bda29d08:tests/fixtures/fcc_ecfs_codes/; RefSpec@3464bda29d08:tests/fixtures/regulations_gov_codes/regulations-gov-openapi-v4-2026-08-03.yaml; RefSpec@3464bda29d08:tests/fixtures/unified_agenda_codes/reginfo-rin-data-ver10262011.xsd	Rerun fixture digest and registry tests after publisher-schema updates.
R12-D05A	12#5-schedules	spicy-regs	.github/workflows/rollup-bill-subjects.yml; .github/workflows/rollup-court-opinion-clusters.yml; .github/workflows/rollup-court-opinion-bodies.yml; .github/workflows/rollup-supreme-court-opinions.yml; .github/workflows/materialize-ontology.yml	Added workflows preserve unique operational timing and ordering for bill subjects, CourtListener clusters and bodies, Supreme Court opinions, and six-day identity versus Sunday full ontology convergence with bounded serialized publication and failure artifacts.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Review schedules against current upstream cadence and capacity before activation; preservation does not authorize running them.
R12-D05B	12#5-mcp	spicy-regs	.github/workflows/deploy-mcp.yml	The added MCP deployment workflow performs a real initialization, retries alias propagation five times at 15-second intervals, and requires serverInfo because deployment readiness and HTTP 200 did not prove a working service.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay the smoke check in a non-production environment and reassess the retry budget before any deployment adoption.
R12-D05C	12#5-superseded	spicy-regs; DocSpec; rulespec	.github/workflows/; .github/workflows/deploy-docs.yml	Twelve modified workflows mainly add submodule checkout and a package-build gate, which current installed-package and immutable-file exchange decisions supersede. The deploy-docs change also records the historical, deliberate non-blocking schema check that could publish documentation ahead of live R2 data while ingestion stayed fail-closed.	superseded	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:.github/workflows/; DocSpec@444f8ec283a7:pyproject.toml; rulespec@93ae44d906be:packages/rulespec-artifacts/; source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Verify current package-boundary and installed-only gates; separately decide whether documentation-to-live-schema reconciliation must become a hard publication gate, without restoring submodule checkout.
